accepted_name_resolved;key;scientificName;acceptedScientificName;taxonRank;kingdom;species;countryCode;stateProvince;decimalLatitude;decimalLongitude;eventDate;year;basisOfRecord;institutionCode;collectionCode;datasetName
Amanita muscaria;5838331187;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Amanita muscaria;BE;Vlaanderen;51,357277;5,021286;2025-09-25T13:28:16;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations
Amanita muscaria;5844077074;Amanita muscaria (L.) Lam.;Amanita muscaria (L.) Lam.;SPECIES;Fungi;Amanita muscaria;BE;Vlaanderen;51,033740;3,706925;2025-09-26T11:30:12;2025;HUMAN_OBSERVATION;iNaturalist;Observations;iNaturalist research-grade observations
